freq,f_len,max_subgram_freq,partial_order,min_support,mutual_confidence,f_avg_wordlength,f_pos_nn,f_pos_prop,f_pos_verb,f_pos_adj,f_pos_deter,f_pos_empty,f_pos_other,f_completeness,f_postagUniqueness,is_know_phrase
1,2,0,0,0.07,-1,10.5,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0,0,4
1,3,0,0,0.07,-1,7.0,0.333,0.0,0.0,0.667,0.0,0.0,0.0,0,0,4
1,3,1,0,0.07,-1,6.33,0.667,0.0,0.0,0.333,0.0,0.0,0.0,0,0,4
10,1,0,0,0.71,-1,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,4
1,3,0,0,0.07,-1,8.67,0.667,0.0,0.333,0.0,0.0,0.0,0.0,0,0,1
7,3,0,0,0.5,-1,7.0,0.667,0.0,0.333,0.0,0.0,0.0,0.0,0,0,2
1,5,7,0,0.07,-1,8.2,0.8,0.0,0.2,0.0,0.0,0.0,0.0,0,0,2
1,9,310,0,-1,-1,7.22,0.889,0.0,0.111,0.0,0.0,0.0,0.0,0,0,2
1,3,0,0,0.07,-1,6.67,0.667,0.0,0.0,0.333,0.0,0.0,0.0,0,0,1
1,3,0,0,0.07,-1,7.67,0.667,0.0,0.333,0.0,0.0,0.0,0.0,0,0,1
41,2,0,1,2.93,-1,7.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1
25,5,67,0,0.61,0.493,8.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2
1,6,67,0,0.02,-1,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2
1,6,67,0,0.02,-1,8.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2
1,7,67,0,0.02,1.75,8.71,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2
1,6,67,0,0.02,-1,8.33,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2
1,6,67,0,0.02,-1,8.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2
1,7,67,0,0.02,5.25,7.71,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2
9,4,41,0,0.22,0.926,7.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2
1,5,41,0,0.02,-1,7.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2
1,5,41,0,0.02,-1,7.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2
1,2,0,0,0.07,-1,8.5,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0,0,4
2,2,0,0,0.14,-1,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4
2,2,0,0,0.14,-1,9.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0,0,4
1,3,4,0,0.07,-1,9.67,0.333,0.0,0.0,0.667,0.0,0.0,0.0,0,0,2
1,3,1,0,0.07,-1,7.33,0.667,0.0,0.0,0.333,0.0,0.0,0.0,0,0,4
5,2,0,0,0.36,-1,5.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1
2,3,5,0,0.14,-1,6.33,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1
1,4,747,0,0.07,0.004,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1
1,4,5,0,0.07,-1,5.0,0.75,0.0,0.0,0.0,0.25,0.0,0.0,0,0,2
4,1,0,0,0.29,-1,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4
1,3,0,0,0.07,-1,3.67,0.667,0.0,0.0,0.0,0.0,0.333,0.0,0,0,2
1,9,15,0,-1,-1,7.67,0.889,0.0,0.0,0.111,0.0,0.0,0.0,0,0,2
2,3,0,0,0.14,-1,9.0,0.333,0.0,0.0,0.667,0.0,0.0,0.0,0,0,2
1,3,1,0,0.07,-1,8.0,0.667,0.0,0.0,0.333,0.0,0.0,0.0,0,0,2
3,2,0,0,0.21,-1,10.5,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0,0,4
1,3,3,0,0.07,-1,7.67,0.667,0.0,0.0,0.333,0.0,0.0,0.0,0,0,2
2,3,0,0,0.14,-1,7.33,0.333,0.0,0.0,0.667,0.0,0.0,0.0,0,0,1
3,1,0,0,0.21,-1,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4
2,2,0,0,0.14,-1,7.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2
1,3,0,0,0.07,-1,5.67,0.667,0.0,0.0,0.333,0.0,0.0,0.0,0,0,1
8,3,0,0,0.57,-1,8.33,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2
1,5,8,0,0.07,-1,8.2,0.8,0.0,0.2,0.0,0.0,0.0,0.0,0,0,2
1,2,0,0,0.07,-1,8.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2
1,3,1,0,0.07,-1,7.67,0.667,0.0,0.333,0.0,0.0,0.0,0.0,0,0,2
1,2,0,0,0.07,-1,5.5,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0,0,1
2,3,2,0,0.14,-1,9.0,0.667,0.0,0.333,0.0,0.0,0.0,0.0,0,0,2
1,5,3,0,0.07,-1,9.0,0.8,0.0,0.2,0.0,0.0,0.0,0.0,0,0,2
29,4,67,0,2.07,-1,9.0,0.75,0.0,0.25,0.0,0.0,0.0,0.0,0,0,2
1,7,67,0,0.03,-1,7.43,0.857,0.0,0.143,0.0,0.0,0.0,0.0,0,0,2
1,7,67,0,0.03,-1,7.43,0.857,0.0,0.143,0.0,0.0,0.0,0.0,0,0,2
1,8,67,0,0.03,-1,7.75,0.875,0.0,0.125,0.0,0.0,0.0,0.0,0,0,2
1,7,67,0,0.03,-1,7.29,0.857,0.0,0.143,0.0,0.0,0.0,0.0,0,0,2
1,7,67,0,0.03,-1,7.14,0.857,0.0,0.143,0.0,0.0,0.0,0.0,0,0,1
1,8,67,0,0.03,-1,7.38,0.875,0.0,0.125,0.0,0.0,0.0,0.0,0,0,2
1,8,67,0,0.03,-1,7.5,0.875,0.0,0.125,0.0,0.0,0.0,0.0,0,0,1
1,3,27,0,0.07,-1,7.33,0.333,0.0,0.667,0.0,0.0,0.0,0.0,0,1,2
1,6,27,0,0.33,-1,5.83,0.833,0.0,0.167,0.0,0.0,0.0,0.0,0,0,2
1,3,3,0,0.07,-1,10.0,0.333,0.0,0.667,0.0,0.0,0.0,0.0,0,0,2
34,2,0,0,2.43,-1,6.5,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0,0,1
1,4,57,0,0.03,0.307,6.0,0.75,0.0,0.25,0.0,0.0,0.0,0.0,0,0,2
1,2,0,0,0.07,-1,11.5,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0,0,4
1,2,0,0,0.07,-1,8.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0,0,4
1,2,0,0,0.07,-1,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1
1,2,0,0,0.07,-1,7.5,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0,0,4
1,1,0,0,0.07,-1,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4
64,3,0,0,4.57,-1,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1
11,6,64,0,0.17,-1,2.17,0.833,0.0,0.0,0.0,0.0,0.167,0.0,0,0,1
2,5,64,0,0.03,-1,4.8,0.8,0.0,0.2,0.0,0.0,0.0,0.0,0,0,2
1,7,138,0,0.02,-1,4.86,0.857,0.0,0.143,0.0,0.0,0.0,0.0,0,0,2
4,4,64,1,0.06,-1,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1
1,5,268,0,0.02,-1,3.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1
1,3,0,0,0.07,-1,8.67,0.667,0.0,0.0,0.333,0.0,0.0,0.0,0,0,2
1,2,0,0,0.07,-1,9.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0,0,4
2,3,3,0,0.14,-1,10.0,0.667,0.0,0.333,0.0,0.0,0.0,0.0,0,0,4
1,5,3,0,0.07,-1,8.0,0.6,0.0,0.4,0.0,0.0,0.0,0.0,0,0,2
1,3,1,0,0.07,-1,7.67,0.667,0.0,0.333,0.0,0.0,0.0,0.0,0,0,1
2,2,0,0,0.14,-1,7.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0,0,4
1,3,4,0,0.07,-1,6.33,0.667,0.0,0.0,0.333,0.0,0.0,0.0,0,0,1
1,3,3,0,0.07,-1,9.0,0.667,0.0,0.0,0.333,0.0,0.0,0.0,0,0,4
1,2,0,0,0.07,-1,8.5,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0,0,4
3,2,0,0,0.21,-1,7.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0,0,4
1,2,0,0,0.07,-1,10.5,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0,0,4
3,2,0,0,0.21,-1,9.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,4
1,4,1,0,0.07,-1,7.25,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0,0,4
